msg,artist,album,year
"Ambrosia - Ambrosia","Ambrosia","Ambrosia","1975"
"Polvo - Cor-Crane Secret","Polvo","Cor-Crane Secret","1992"
"Polvo - TodayActiveLifestyles","Polvo","Today's Active Lifestyles","1993"
"Polvo - Exploded Drawing","Polvo","Exploded Drawing","1996"
"Polvo - Shapes","Polvo","Shapes","1997"
"Polvo - Siberia","Polvo","Siberia","2013"
"Pearl Jam - Yield","Pearl Jam","Yield","1998"
"Pearl Jam - Binaural","Pearl Jam","Binaural","2000"
"Tom Waits - HeartattackVine","Tom Waits","Heartattack & Vine","1980"
"Tom Waits - SwordfishTrombones","Tom Waits","Swordfishtrombones","1983"
